DispPlantCode,PlantName,UTM
917,حافظ,"29.368207,52.613139"
902,عسلويه,"27.407021288451556,52.78167197116481"
715,سيکل ترکيبي شيروان,"37.33886694354433, 58.053468876941174"
636,سيکل ترکيبي يزد,"31.945503,54.057056"
515,سيکل ترکيبي اروميه,"37.348352,45.266379"
503,سبلان,"38.533747,48.196761"
422,شهيد منتظري 1,"32.799953,51.498319"
406,جنوب اصفهان - چهلستون,"32.257282,51.526059"
365,شهداي پيروز - بهبهان,"30.7200415,50.0750358"
232,گيلان,"37.181512,49.411059"
149,قم,"34.581283,50.754571"
111,شهداي پاکدشت - دماوند,"35.41242609607455, 51.85164607724801"
104,پرند,"35.4624348,51.0179973"
