,0
0,"(Timestamp('2021-05-22 10:00:00'), Timestamp('2021-05-23 02:00:00'))"
1,"(Timestamp('2021-05-23 10:00:00'), Timestamp('2021-05-24 02:00:00'))"
2,"(Timestamp('2021-05-25 20:00:00'), Timestamp('2021-05-25 23:00:00'))"
3,"(Timestamp('2021-05-26 11:00:00'), Timestamp('2021-05-26 17:00:00'))"
4,"(Timestamp('2021-05-27 12:00:00'), Timestamp('2021-05-27 22:00:00'))"
5,"(Timestamp('2021-05-28 14:00:00'), Timestamp('2021-05-28 17:00:00'))"
6,"(Timestamp('2021-05-30 22:00:00'), Timestamp('2021-05-31 02:00:00'))"
7,"(Timestamp('2021-06-01 09:00:00'), Timestamp('2021-06-02 02:00:00'))"
8,"(Timestamp('2021-06-07 21:00:00'), Timestamp('2021-06-08 02:00:00'))"
9,"(Timestamp('2021-06-08 10:00:00'), Timestamp('2021-06-09 02:00:00'))"
10,"(Timestamp('2021-06-09 10:00:00'), Timestamp('2021-06-10 01:00:00'))"
11,"(Timestamp('2021-06-10 21:00:00'), Timestamp('2021-06-11 02:00:00'))"
12,"(Timestamp('2021-06-11 12:00:00'), Timestamp('2021-06-12 02:00:00'))"
13,"(Timestamp('2021-06-13 09:00:00'), Timestamp('2021-06-14 02:00:00'))"
14,"(Timestamp('2021-06-14 11:00:00'), Timestamp('2021-06-15 02:00:00'))"
15,"(Timestamp('2021-06-15 10:00:00'), Timestamp('2021-06-16 02:00:00'))"
16,"(Timestamp('2021-06-18 13:00:00'), Timestamp('2021-06-19 02:00:00'))"
17,"(Timestamp('2021-06-19 10:00:00'), Timestamp('2021-06-20 02:00:00'))"
18,"(Timestamp('2021-06-21 10:00:00'), Timestamp('2021-06-22 02:00:00'))"
19,"(Timestamp('2021-06-22 22:00:00'), Timestamp('2021-06-23 02:00:00'))"
20,"(Timestamp('2021-06-23 09:00:00'), Timestamp('2021-06-23 14:00:00'))"
21,"(Timestamp('2021-06-23 23:00:00'), Timestamp('2021-06-24 02:00:00'))"
22,"(Timestamp('2021-06-25 12:00:00'), Timestamp('2021-06-26 02:00:00'))"
23,"(Timestamp('2021-06-26 10:00:00'), Timestamp('2021-06-27 02:00:00'))"
24,"(Timestamp('2021-06-27 10:00:00'), Timestamp('2021-06-28 00:00:00'))"
25,"(Timestamp('2021-09-16 11:00:00'), Timestamp('2021-09-16 17:00:00'))"
26,"(Timestamp('2021-09-17 21:00:00'), Timestamp('2021-09-18 02:00:00'))"
27,"(Timestamp('2021-09-19 12:00:00'), Timestamp('2021-09-19 22:00:00'))"
28,"(Timestamp('2021-09-20 12:00:00'), Timestamp('2021-09-21 00:00:00'))"
29,"(Timestamp('2021-09-22 11:00:00'), Timestamp('2021-09-22 23:00:00'))"
30,"(Timestamp('2021-09-24 18:00:00'), Timestamp('2021-09-24 21:00:00'))"
31,"(Timestamp('2021-09-25 18:00:00'), Timestamp('2021-09-25 21:00:00'))"
32,"(Timestamp('2021-09-28 18:00:00'), Timestamp('2021-09-28 21:00:00'))"
33,"(Timestamp('2021-09-29 18:00:00'), Timestamp('2021-09-29 21:00:00'))"
34,"(Timestamp('2021-10-02 18:00:00'), Timestamp('2021-10-02 21:00:00'))"
35,"(Timestamp('2021-10-08 18:00:00'), Timestamp('2021-10-08 21:00:00'))"
36,"(Timestamp('2021-10-11 18:00:00'), Timestamp('2021-10-11 21:00:00'))"
37,"(Timestamp('2021-10-12 18:00:00'), Timestamp('2021-10-12 21:00:00'))"
38,"(Timestamp('2021-10-13 18:00:00'), Timestamp('2021-10-13 21:00:00'))"
39,"(Timestamp('2021-10-14 18:00:00'), Timestamp('2021-10-14 21:00:00'))"
40,"(Timestamp('2021-10-15 18:00:00'), Timestamp('2021-10-15 21:00:00'))"
41,"(Timestamp('2021-10-21 18:00:00'), Timestamp('2021-10-21 21:00:00'))"
42,"(Timestamp('2021-10-24 18:00:00'), Timestamp('2021-10-24 21:00:00'))"
43,"(Timestamp('2021-10-25 18:00:00'), Timestamp('2021-10-25 21:00:00'))"
44,"(Timestamp('2021-12-05 18:00:00'), Timestamp('2021-12-05 21:00:00'))"
45,"(Timestamp('2021-12-06 18:00:00'), Timestamp('2021-12-06 21:00:00'))"
46,"(Timestamp('2021-12-08 18:00:00'), Timestamp('2021-12-08 21:00:00'))"
47,"(Timestamp('2021-12-11 18:00:00'), Timestamp('2021-12-11 21:00:00'))"
48,"(Timestamp('2021-12-12 18:00:00'), Timestamp('2021-12-12 21:00:00'))"
49,"(Timestamp('2021-12-13 18:00:00'), Timestamp('2021-12-13 21:00:00'))"
50,"(Timestamp('2021-12-14 18:00:00'), Timestamp('2021-12-14 21:00:00'))"
51,"(Timestamp('2021-12-16 18:00:00'), Timestamp('2021-12-16 21:00:00'))"
52,"(Timestamp('2022-01-15 18:00:00'), Timestamp('2022-01-15 21:00:00'))"
53,"(Timestamp('2022-01-16 18:00:00'), Timestamp('2022-01-16 21:00:00'))"
54,"(Timestamp('2022-01-17 18:00:00'), Timestamp('2022-01-17 21:00:00'))"
55,"(Timestamp('2022-01-18 18:00:00'), Timestamp('2022-01-18 21:00:00'))"
56,"(Timestamp('2022-01-19 18:00:00'), Timestamp('2022-01-19 21:00:00'))"
57,"(Timestamp('2022-01-21 18:00:00'), Timestamp('2022-01-21 21:00:00'))"
58,"(Timestamp('2022-01-22 18:00:00'), Timestamp('2022-01-22 21:00:00'))"
59,"(Timestamp('2022-01-30 18:00:00'), Timestamp('2022-01-30 21:00:00'))"
60,"(Timestamp('2022-01-31 18:00:00'), Timestamp('2022-01-31 21:00:00'))"
61,"(Timestamp('2022-02-02 18:00:00'), Timestamp('2022-02-02 21:00:00'))"
62,"(Timestamp('2021-06-28 09:00:00'), Timestamp('2021-06-29 02:00:00'))"
63,"(Timestamp('2022-02-03 18:00:00'), Timestamp('2022-02-03 21:00:00'))"
64,"(Timestamp('2021-06-29 14:00:00'), Timestamp('2021-06-30 02:00:00'))"
65,"(Timestamp('2022-02-04 18:00:00'), Timestamp('2022-02-04 21:00:00'))"
66,"(Timestamp('2021-06-30 12:00:00'), Timestamp('2021-07-01 02:00:00'))"
