2025-08-31 16:20:01,198 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-12 23:00:00_2022-06-13 02:00:00 has been selected successfully!
2025-08-31 16:20:01,200 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-13 13:00:00_2022-06-13 18:00:00 has been selected successfully!
2025-08-31 16:20:01,201 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-14 10:00:00_2022-06-15 01:00:00 has been selected successfully!
2025-08-31 16:20:01,202 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-15 14:00:00_2022-06-15 19:00:00 has been selected successfully!
2025-08-31 16:20:01,203 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-17 11:00:00_2022-06-17 23:00:00 has been selected successfully!
2025-08-31 16:20:01,204 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-18 11:00:00_2022-06-19 01:00:00 has been selected successfully!
2025-08-31 16:20:01,205 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-19 10:00:00_2022-06-20 02:00:00 has been selected successfully!
2025-08-31 16:20:01,206 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-20 09:00:00_2022-06-21 02:00:00 has been selected successfully!
2025-08-31 16:20:01,207 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-21 09:00:00_2022-06-22 01:00:00 has been selected successfully!
2025-08-31 16:20:01,208 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-22 11:00:00_2022-06-23 02:00:00 has been selected successfully!
2025-08-31 16:20:01,209 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-23 23:00:00_2022-06-24 02:00:00 has been selected successfully!
2025-08-31 16:20:01,210 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-24 12:00:00_2022-06-24 19:00:00 has been selected successfully!
2025-08-31 16:20:01,211 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-24 22:00:00_2022-06-25 02:00:00 has been selected successfully!
2025-08-31 16:20:01,211 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-25 09:00:00_2022-06-26 02:00:00 has been selected successfully!
2025-08-31 16:20:01,212 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-26 11:00:00_2022-06-26 20:00:00 has been selected successfully!
2025-08-31 16:20:01,213 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-26 23:00:00_2022-06-27 02:00:00 has been selected successfully!
2025-08-31 16:20:01,214 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-27 11:00:00_2022-06-27 18:00:00 has been selected successfully!
2025-08-31 16:20:01,215 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-28 09:00:00_2022-06-28 19:00:00 has been selected successfully!
2025-08-31 16:20:01,216 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-28 20:00:00_2022-06-29 02:00:00 has been selected successfully!
2025-08-31 16:20:01,217 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-29 11:00:00_2022-06-29 19:00:00 has been selected successfully!
2025-08-31 16:20:01,218 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-29 22:00:00_2022-06-30 01:00:00 has been selected successfully!
2025-08-31 16:20:01,219 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-06-30 11:00:00_2022-07-01 02:00:00 has been selected successfully!
2025-08-31 16:20:01,220 | data_selector | DEBUG | data_selector.py:32 | filter_time() | Data related to 2022-07-01 11:00:00_2022-07-02 02:00:00 has been selected successfully!
