2025-08-11 17:49:13,444 | model_main | INFO | main.py:36 | <module>() | Train Error: 6.510898960722667%
2025-08-11 17:49:13,445 | model_main | INFO | main.py:37 | <module>() | Test Error: 6.49808879750572%
2025-08-11 17:53:00,814 | model_main | INFO | main.py:41 | <module>() | Train Error: 9.50154436888924%
2025-08-11 17:53:00,814 | model_main | INFO | main.py:42 | <module>() | Test Error: 9.474526203107304%
2025-08-11 17:53:10,904 | model_main | INFO | main.py:41 | <module>() | Train Error: 7.716654184727748%
2025-08-11 17:53:10,905 | model_main | INFO | main.py:42 | <module>() | Test Error: 7.695244679196479%
2025-08-11 17:53:24,699 | model_main | INFO | main.py:41 | <module>() | Train Error: 7.196979442959248%
2025-08-11 17:53:24,699 | model_main | INFO | main.py:42 | <module>() | Test Error: 7.19998211013164%
2025-08-11 17:53:41,086 | model_main | INFO | main.py:41 | <module>() | Train Error: 6.627290130668971%
2025-08-11 17:53:41,086 | model_main | INFO | main.py:42 | <module>() | Test Error: 6.605184561630508%
2025-08-11 17:54:00,214 | model_main | INFO | main.py:41 | <module>() | Train Error: 6.035805816987672%
2025-08-11 17:54:00,215 | model_main | INFO | main.py:42 | <module>() | Test Error: 6.003515302171005%
2025-08-11 17:54:22,340 | model_main | INFO | main.py:41 | <module>() | Train Error: 5.620436325741188%
2025-08-11 17:54:22,341 | model_main | INFO | main.py:42 | <module>() | Test Error: 5.600433249119454%
2025-08-11 17:54:45,330 | model_main | INFO | main.py:41 | <module>() | Train Error: 5.31152570912208%
2025-08-11 17:54:45,330 | model_main | INFO | main.py:42 | <module>() | Test Error: 5.308419619610603%
2025-08-11 17:55:08,186 | model_main | INFO | main.py:41 | <module>() | Train Error: 5.0848317946039945%
2025-08-11 17:55:08,186 | model_main | INFO | main.py:42 | <module>() | Test Error: 5.10893289551105%
2025-08-11 17:55:33,611 | model_main | INFO | main.py:41 | <module>() | Train Error: 4.843012385457643%
2025-08-11 17:55:33,611 | model_main | INFO | main.py:42 | <module>() | Test Error: 4.91967962964245%
2025-08-11 17:56:01,039 | model_main | INFO | main.py:41 | <module>() | Train Error: 4.611642115278953%
2025-08-11 17:56:01,039 | model_main | INFO | main.py:42 | <module>() | Test Error: 4.754567654487752%
2025-08-11 17:56:30,676 | model_main | INFO | main.py:41 | <module>() | Train Error: 4.3723442706178455%
2025-08-11 17:56:30,676 | model_main | INFO | main.py:42 | <module>() | Test Error: 4.5850933717685125%
2025-08-11 17:57:02,708 | model_main | INFO | main.py:41 | <module>() | Train Error: 4.112885332875309%
2025-08-11 17:57:02,709 | model_main | INFO | main.py:42 | <module>() | Test Error: 4.40800848230011%
2025-08-11 17:57:37,228 | model_main | INFO | main.py:41 | <module>() | Train Error: 3.8327471680714216%
2025-08-11 17:57:37,228 | model_main | INFO | main.py:42 | <module>() | Test Error: 4.233820885014639%
2025-08-11 17:58:13,371 | model_main | INFO | main.py:41 | <module>() | Train Error: 3.5449658167160023%
2025-08-11 17:58:13,372 | model_main | INFO | main.py:42 | <module>() | Test Error: 4.067351636645619%
2025-08-11 17:58:51,452 | model_main | INFO | main.py:41 | <module>() | Train Error: 3.2543776105857307%
2025-08-11 17:58:51,452 | model_main | INFO | main.py:42 | <module>() | Test Error: 3.903568796424936%
2025-08-11 17:59:32,176 | model_main | INFO | main.py:41 | <module>() | Train Error: 2.9687348803713265%
2025-08-11 17:59:32,178 | model_main | INFO | main.py:42 | <module>() | Test Error: 3.7460133182714164%
2025-08-11 18:00:16,672 | model_main | INFO | main.py:41 | <module>() | Train Error: 2.6963218354485123%
2025-08-11 18:00:16,673 | model_main | INFO | main.py:42 | <module>() | Test Error: 3.611131441944531%
2025-08-11 18:01:02,782 | model_main | INFO | main.py:41 | <module>() | Train Error: 2.4431349710597106%
2025-08-11 18:01:02,782 | model_main | INFO | main.py:42 | <module>() | Test Error: 3.480357512518064%
2025-08-11 18:01:50,121 | model_main | INFO | main.py:41 | <module>() | Train Error: 2.209832970959447%
2025-08-11 18:01:50,122 | model_main | INFO | main.py:42 | <module>() | Test Error: 3.3753038265608284%
