n_est,m_depth,n_mimo,chosen_data,test_rmse
1000,5,3,100.0,2.819
1000,5,4,97.0,2.483
1000,5,5,90.0,2.262
1000,5,6,86.0,2.089
1000,5,7,81.0,2.112
1000,5,8,77.0,2.036
1000,5,9,72.0,2.138
1000,5,10,67.0,2.182
1000,5,11,62.0,2.755
1000,5,12,57.0,2.335
1000,5,13,53.0,2.215
1000,5,14,48.0,2.099
1000,5,15,43.0,2.282
1000,5,16,37.0,2.745
1000,5,17,29.0,2.425
1000,5,18,19.0,2.366
2000,5,3,100.0,2.766
2000,5,4,97.0,2.430
2000,5,5,90.0,2.233
2000,5,6,86.0,2.040
2000,5,7,81.0,2.089
2000,5,8,77.0,2.009
2000,5,9,72.0,2.128
2000,5,10,67.0,2.181
2000,5,11,62.0,2.749
2000,5,12,57.0,2.342
2000,5,13,53.0,2.217
2000,5,14,48.0,2.130
2000,5,15,43.0,2.313
2000,5,16,37.0,2.759
2000,5,17,29.0,2.429
2000,5,18,19.0,2.366
2000,7,3,100.0,2.795
2000,7,4,97.0,2.387
2000,7,5,90.0,2.193
2000,7,6,86.0,2.091
2000,7,7,81.0,2.111
2000,7,8,77.0,2.047
2000,7,9,72.0,2.092
2000,7,10,67.0,2.163
2000,7,11,62.0,2.639
2000,7,12,57.0,2.568
2000,7,13,53.0,2.227
2000,7,14,48.0,2.193
2000,7,15,43.0,2.373
2000,7,16,37.0,2.820
2000,7,17,29.0,2.408
2000,7,18,19.0,2.331
